engine,concurrency,prompt_len,n_ok,n_total,error_rate,ttft_mean_ms,ttft_p50_ms,ttft_p99_ms,itl_mean_ms,itl_p50_ms,itl_p99_ms,e2e_mean_ms,e2e_p50_ms,e2e_p99_ms,throughput_tok_s,total_output_tokens
sglang,1,32,40,40,0.0000,772.2578,37.3206,17969.2415,16.4425,16.4467,16.7126,2860.6493,2125.7581,20056.3962,44.7315,5120
sglang,1,128,40,40,0.0000,37.4408,37.6728,39.6254,16.4545,16.4571,16.7021,2127.3442,2127.6053,2129.5813,60.1595,5120
sglang,1,512,40,40,0.0000,39.6455,39.9438,41.1030,16.4739,16.4775,16.7183,2132.0069,2132.3481,2132.8007,60.0285,5120
sglang,1,2048,40,40,0.0000,63.6621,64.0015,64.6102,16.5008,16.5043,16.8529,2159.4536,2159.9082,2160.9735,59.2658,5120
sglang,2,32,40,40,0.0000,35.9014,35.8849,38.7756,16.7654,16.7633,17.2008,2165.4267,2164.8033,2173.3198,118.1849,5120
sglang,2,128,40,40,0.0000,35.8491,35.8314,38.7783,16.7734,16.7747,17.1174,2166.4046,2166.1750,2170.6171,118.1326,5120
sglang,2,512,40,40,0.0000,35.9419,35.9441,38.5938,16.7961,16.7948,17.1890,2169.3719,2169.0973,2174.0115,117.9710,5120
sglang,2,2048,40,40,0.0000,36.4279,36.3435,40.0423,16.8669,16.8694,17.2837,2178.8605,2178.6031,2184.2767,117.4564,5120
sglang,4,32,40,40,0.0000,36.6810,36.4101,41.4381,16.8440,16.8458,17.3363,2176.3227,2175.8286,2181.5092,235.1173,5120
sglang,4,128,40,40,0.0000,36.5900,36.4193,40.8456,16.8587,16.8634,17.3774,2178.1104,2177.6395,2182.7256,234.9187,5120
sglang,4,512,40,40,0.0000,36.8329,36.5807,41.8630,16.9037,16.9074,17.3341,2184.0829,2183.5259,2189.4799,234.2816,5120
sglang,4,2048,40,40,0.0000,37.3674,37.0918,42.5064,17.0567,17.0655,17.5221,2204.0573,2203.3290,2209.8075,232.1591,5120
sglang,8,32,40,40,0.0000,38.1159,36.9428,45.0970,16.9978,17.0016,18.1235,2197.5951,2195.9996,2204.7709,465.3899,5120
sglang,8,128,40,40,0.0000,38.1478,37.2733,44.7159,17.0217,17.0251,17.9467,2200.5713,2199.3195,2206.7289,464.7773,5120
sglang,8,512,40,40,0.0000,38.3768,37.3932,44.4110,17.1105,17.1061,17.7599,2212.0564,2210.7575,2218.0393,462.3690,5120
sglang,8,2048,40,40,0.0000,39.2711,38.1923,45.6258,17.4305,17.4289,18.1284,2253.6247,2252.4816,2259.2655,453.8193,5120
sglang,16,32,40,40,0.0000,47.1924,50.4873,54.8944,17.2307,17.2207,18.2915,2236.7527,2246.0563,2250.7125,763.7817,5120
sglang,16,128,40,40,0.0000,45.3910,48.0794,53.4543,17.2843,17.2681,18.2247,2241.6915,2250.0519,2257.3907,762.2906,5120
sglang,16,512,40,40,0.0000,46.2319,47.9801,54.0512,17.4347,17.4370,19.3898,2261.6264,2271.6286,2279.5226,756.1410,5120
sglang,16,2048,40,40,0.0000,51.5651,55.4352,65.0602,18.0356,18.0732,19.7170,2343.2481,2361.8083,2372.2444,731.8392,5120
sglang,32,32,40,40,0.0000,64.1469,68.9148,71.9531,18.7435,19.1014,19.9934,2446.2277,2506.1330,2508.5299,1083.9280,5120
sglang,32,128,40,40,0.0000,61.6647,63.5302,76.6035,18.9230,19.1495,22.6995,2466.2745,2530.5057,2532.5722,1077.7073,5120
sglang,32,512,40,40,0.0000,64.4617,66.1032,79.7929,19.1805,19.5021,24.0730,2502.3855,2573.2595,2574.6324,1065.6570,5120
sglang,32,2048,40,40,0.0000,69.0925,81.1280,84.1969,20.2179,20.7865,21.9527,2638.3175,2732.5123,2735.0287,1022.7896,5120
