=== Throughput (tok/s) ===
engine     conc  plen   tok/s      ttft_p50   ttft_p99   itl_p50    e2e_p99    err%  
sglang     1     32     44.7       37         17969      16         20056      0.0   
sglang     1     128    60.2       38         40         16         2130       0.0   
sglang     1     512    60.0       40         41         16         2133       0.0   
sglang     1     2048   59.3       64         65         17         2161       0.0   
sglang     2     32     118.2      36         39         17         2173       0.0   
sglang     2     128    118.1      36         39         17         2171       0.0   
sglang     2     512    118.0      36         39         17         2174       0.0   
sglang     2     2048   117.5      36         40         17         2184       0.0   
sglang     4     32     235.1      36         41         17         2182       0.0   
sglang     4     128    234.9      36         41         17         2183       0.0   
sglang     4     512    234.3      37         42         17         2189       0.0   
sglang     4     2048   232.2      37         43         17         2210       0.0   
sglang     8     32     465.4      37         45         17         2205       0.0   
sglang     8     128    464.8      37         45         17         2207       0.0   
sglang     8     512    462.4      37         44         17         2218       0.0   
sglang     8     2048   453.8      38         46         17         2259       0.0   
sglang     16    32     763.8      50         55         17         2251       0.0   
sglang     16    128    762.3      48         53         17         2257       0.0   
sglang     16    512    756.1      48         54         17         2280       0.0   
sglang     16    2048   731.8      55         65         18         2372       0.0   
sglang     32    32     1083.9     69         72         19         2509       0.0   
sglang     32    128    1077.7     64         77         19         2533       0.0   
sglang     32    512    1065.7     66         80         20         2575       0.0   
sglang     32    2048   1022.8     81         84         21         2735       0.0   
