engine,concurrency,prompt_len,n_ok,n_total,error_rate,ttft_mean_ms,ttft_p50_ms,ttft_p99_ms,itl_mean_ms,itl_p50_ms,itl_p99_ms,e2e_mean_ms,e2e_p50_ms,e2e_p99_ms,throughput_tok_s,total_output_tokens
vllm,1,32,40,40,0.0000,74.2691,25.2326,1216.9532,17.0019,16.9907,17.3806,2233.6770,2183.6586,3392.6882,57.2831,5120
vllm,1,128,40,40,0.0000,25.7443,25.7559,27.3298,17.0034,16.9973,17.2890,2185.3518,2184.8919,2194.4270,58.5635,5120
vllm,1,512,40,40,0.0000,28.2280,28.0681,31.4912,17.0219,17.0053,17.5070,2190.1820,2188.5843,2213.9896,58.4335,5120
vllm,1,2048,40,40,0.0000,52.0859,51.9337,55.1403,17.0533,17.0296,17.5527,2218.0160,2216.0900,2238.0320,57.7007,5120
vllm,2,32,40,40,0.0000,34.7115,34.6185,41.0768,17.1905,17.1781,17.7045,2218.0569,2217.3947,2231.0944,115.3636,5120
vllm,2,128,40,40,0.0000,34.2056,34.5237,40.2976,17.1901,17.1833,17.4515,2217.5049,2217.4661,2223.2821,115.3920,5120
vllm,2,512,40,40,0.0000,34.3072,34.5314,40.6114,17.2400,17.2227,17.7839,2223.9470,2222.3982,2242.6061,115.0573,5120
vllm,2,2048,40,40,0.0000,35.2577,35.0132,41.6086,17.2649,17.2538,17.7050,2228.0471,2227.2528,2238.2481,114.8443,5120
vllm,4,32,40,40,0.0000,36.3815,35.9490,47.2826,17.2242,17.2008,17.8613,2224.1456,2222.4684,2237.4487,230.0221,5120
vllm,4,128,40,40,0.0000,35.8790,35.7005,44.8546,17.2096,17.2004,17.5032,2221.8273,2221.0473,2231.7750,230.2619,5120
vllm,4,512,40,40,0.0000,35.6427,34.6589,46.2755,17.2419,17.2345,17.5662,2225.6922,2225.1427,2235.5347,229.8627,5120
vllm,4,2048,40,40,0.0000,37.0532,36.3841,50.3199,17.3942,17.3849,17.6972,2246.4636,2245.5543,2259.8983,227.7350,5120
vllm,8,32,40,40,0.0000,40.0637,37.0496,56.6575,17.3211,17.3138,17.7038,2240.3235,2237.6390,2255.1039,456.4562,5120
vllm,8,128,40,40,0.0000,42.6554,37.9943,56.0427,17.3467,17.3287,18.2398,2246.0837,2242.0999,2262.0737,454.5160,5120
vllm,8,512,40,40,0.0000,38.4931,36.7449,51.5874,17.4583,17.4430,18.1006,2256.1753,2257.0328,2267.8525,453.1853,5120
vllm,8,2048,40,40,0.0000,40.0367,37.6584,53.4705,17.7169,17.7034,18.2010,2290.5958,2288.2222,2303.5288,446.4337,5120
vllm,16,32,40,40,0.0000,60.3746,59.0252,72.0819,17.7172,17.7339,19.2484,2311.5242,2323.8407,2335.8017,739.7719,5120
vllm,16,128,40,40,0.0000,58.8081,59.3839,67.0166,17.7569,17.7620,18.8157,2314.8562,2331.3747,2333.4032,738.5714,5120
vllm,16,512,40,40,0.0000,54.0756,54.4531,66.1481,17.7386,17.7495,18.4272,2307.8196,2320.0095,2328.0652,740.9888,5120
vllm,16,2048,40,40,0.0000,58.6069,56.6106,69.3130,18.4572,18.5406,19.4577,2403.7532,2426.0491,2435.8798,712.9908,5120
vllm,32,32,40,40,0.0000,97.7629,111.7737,113.5561,18.6631,18.8581,19.8509,2469.6268,2525.7111,2527.5228,1069.1627,5120
vllm,32,128,40,40,0.0000,96.3347,108.7734,111.3000,18.7725,18.9649,20.1717,2482.4662,2534.6669,2537.1491,1061.3932,5120
vllm,32,512,40,40,0.0000,80.2638,89.6033,91.0717,18.9931,19.2891,19.9995,2494.0647,2553.3694,2554.7660,1060.2842,5120
vllm,32,2048,40,40,0.0000,94.7222,107.0843,109.1853,20.2395,20.7720,21.4939,2666.9035,2758.7245,2760.6375,1008.8316,5120
