=== Throughput (tok/s) ===
engine     conc  plen   tok/s      ttft_p50   ttft_p99   itl_p50    e2e_p99    err%  
vllm       1     32     57.3       25         1217       17         3393       0.0   
vllm       1     128    58.6       26         27         17         2194       0.0   
vllm       1     512    58.4       28         31         17         2214       0.0   
vllm       1     2048   57.7       52         55         17         2238       0.0   
vllm       2     32     115.4      35         41         17         2231       0.0   
vllm       2     128    115.4      35         40         17         2223       0.0   
vllm       2     512    115.1      35         41         17         2243       0.0   
vllm       2     2048   114.8      35         42         17         2238       0.0   
vllm       4     32     230.0      36         47         17         2237       0.0   
vllm       4     128    230.3      36         45         17         2232       0.0   
vllm       4     512    229.9      35         46         17         2236       0.0   
vllm       4     2048   227.7      36         50         17         2260       0.0   
vllm       8     32     456.5      37         57         17         2255       0.0   
vllm       8     128    454.5      38         56         17         2262       0.0   
vllm       8     512    453.2      37         52         17         2268       0.0   
vllm       8     2048   446.4      38         53         18         2304       0.0   
vllm       16    32     739.8      59         72         18         2336       0.0   
vllm       16    128    738.6      59         67         18         2333       0.0   
vllm       16    512    741.0      54         66         18         2328       0.0   
vllm       16    2048   713.0      57         69         19         2436       0.0   
vllm       32    32     1069.2     112        114        19         2528       0.0   
vllm       32    128    1061.4     109        111        19         2537       0.0   
vllm       32    512    1060.3     90         91         19         2555       0.0   
vllm       32    2048   1008.8     107        109        21         2761       0.0   
